,GeoID,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,TEETHLOST,TotalPopulation
1046,36047117202,14.2,25.4,4.1,8.8,4.3,4.8,14.6,11.1,25.6,2.8,28.2,2.8,15.5,3907.0
1047,36047117400,14.0,25.0,4.0,8.5,4.4,4.9,14.6,11.1,25.6,2.8,28.6,2.7,19.6,4329.0
1048,36047117601,14.0,24.7,4.0,8.5,4.4,4.8,14.8,10.9,25.7,2.8,28.4,2.7,17.1,2750.0
1049,36047117602,15.3,26.5,4.1,8.9,5.1,5.8,15.4,12.4,26.7,3.1,29.4,3.1,20.5,3313.0
1050,36047117800,15.3,27.1,4.1,8.8,5.3,6.0,14.9,12.6,27.4,3.1,27.5,3.2,22.0,1717.0
1051,36047118201,13.2,23.1,3.9,8.3,4.0,4.3,14.5,10.1,24.9,2.6,27.0,2.4,16.1,3002.0
1052,36047118202,14.3,25.2,3.9,8.4,4.5,5.1,14.6,11.7,26.0,2.9,28.8,2.8,16.7,3083.0
1053,36047118400,14.2,25.1,4.0,8.3,4.7,5.0,14.3,11.5,26.2,2.9,27.4,2.8,18.7,5420.0
1054,36047118600,13.6,24.0,4.1,8.3,4.2,4.7,14.1,10.2,25.6,2.6,25.1,2.6,19.0,2969.0
1055,36047118800,14.0,25.6,3.7,8.4,4.6,5.6,13.9,11.3,26.3,2.7,24.1,2.9,18.0,4651.0
1056,36047119000,14.4,26.3,3.5,9.6,4.3,5.8,15.5,11.3,24.7,2.8,28.6,3.0,24.1,2127.0
1057,36047119200,15.7,29.2,4.2,9.5,4.8,5.4,14.5,12.4,25.8,3.2,30.9,3.3,20.3,3013.0
1058,36047119400,18.0,33.7,4.1,11.1,5.5,7.1,15.6,14.1,25.7,3.7,34.8,4.3,26.6,3914.0
1059,36047119600,15.9,29.7,4.0,9.5,4.7,5.8,14.2,12.2,25.6,3.1,29.0,3.5,22.7,5403.0
1060,36047119800,17.2,30.7,4.6,9.5,6.1,6.6,15.0,13.9,27.3,3.7,31.2,4.0,24.8,3426.0
1061,36047120000,18.3,34.0,4.3,10.1,6.3,7.9,15.1,14.9,28.0,3.7,31.9,4.5,28.3,2148.0
1062,36047120200,14.8,26.8,3.8,8.6,4.9,6.2,13.7,11.8,26.7,2.8,22.9,3.2,22.9,1900.0
1063,36047120800,19.4,35.0,5.2,10.6,5.5,6.5,14.5,13.7,27.0,3.6,32.3,4.4,21.9,8938.0
1064,36047121000,20.9,35.6,4.7,11.9,6.8,9.1,17.2,17.1,28.1,4.6,36.0,5.3,33.4,4035.0
1065,36047121400,22.3,38.6,4.5,12.9,7.5,10.6,18.1,18.5,28.0,5.1,39.3,6.0,38.0,4351.0
1066,36047122000,16.7,32.1,3.9,11.2,4.3,6.0,15.4,11.9,23.6,3.2,34.1,3.7,22.7,5495.0
1067,36047123700,12.3,20.8,2.8,10.9,3.8,7.0,22.8,7.2,19.9,2.4,29.0,2.3,28.8,6008.0
1068,36047150200,14.0,19.5,5.3,7.9,3.3,4.0,16.6,5.6,24.5,1.9,20.3,1.8,8.2,2540.0
1069,36047152200,16.2,25.5,5.6,8.0,4.4,4.6,14.1,8.5,27.3,2.5,21.8,2.6,10.3,3317.0
1070,36061000201,22.3,33.0,5.2,10.4,7.6,8.1,17.6,16.7,36.1,4.1,23.3,4.5,26.0,3058.0
1071,36061000202,26.3,35.3,7.2,10.5,8.3,8.5,18.6,15.9,37.8,4.3,24.9,4.7,20.8,7316.0
1072,36061000600,26.4,38.9,5.8,10.5,10.4,11.1,16.9,20.9,39.7,5.1,21.3,6.2,33.1,11367.0
1073,36061000700,7.4,10.2,2.4,8.7,1.1,1.6,19.6,2.1,16.6,0.9,14.5,0.7,4.7,8109.0
1074,36061000800,22.8,34.5,5.2,9.2,8.2,9.2,14.9,17.0,38.7,3.7,15.5,4.9,26.7,10290.0
1075,36061001001,24.2,28.5,9.3,8.9,6.1,5.3,18.3,8.4,35.3,2.9,18.9,3.0,8.5,1434.0
1076,36061001002,25.5,36.1,5.7,11.8,8.9,9.4,19.9,19.4,36.4,5.2,30.3,5.3,28.1,6547.0
1077,36061001200,23.8,30.4,7.8,9.5,7.1,6.6,18.8,11.4,35.4,3.5,21.1,3.7,14.9,3397.0
1078,36061001300,7.1,9.8,2.5,8.3,1.0,1.5,18.7,2.0,16.6,0.8,14.0,0.6,3.6,4479.0
1079,36061001401,22.3,26.4,8.6,8.6,5.2,4.5,17.9,7.7,34.1,2.6,18.2,2.6,7.0,3005.0
1080,36061001402,20.1,29.1,5.3,9.9,6.5,6.6,18.8,12.8,32.8,3.4,21.4,3.7,16.7,2782.0
1081,36061001501,20.8,26.1,7.4,9.0,5.2,4.8,18.1,8.2,32.7,2.6,16.8,2.8,9.6,5518.0
1082,36061001502,6.6,9.3,2.1,9.1,1.0,1.6,20.2,1.9,15.3,0.8,13.7,0.6,4.9,7476.0
1083,36061001600,20.2,31.3,5.0,8.4,6.8,6.7,14.2,14.4,36.1,3.3,14.6,3.9,17.1,8478.0
1084,36061001800,16.6,25.7,4.3,8.9,5.0,5.3,16.5,10.8,31.5,2.6,16.6,2.9,16.9,8660.0
1085,36061002000,26.3,37.2,5.5,12.4,9.4,10.6,20.9,20.9,37.0,5.5,32.3,5.7,28.6,4917.0
1086,36061002100,11.0,13.9,3.8,8.4,1.8,2.1,19.1,3.2,22.5,1.1,16.3,1.0,4.5,6040.0
1087,36061002201,20.5,29.5,5.3,10.1,6.1,6.3,18.5,13.2,32.9,3.5,23.9,3.6,19.7,6398.0
1088,36061002202,13.0,18.7,3.8,9.5,2.8,3.2,19.6,6.0,24.4,1.8,19.8,1.6,8.6,2189.0
1089,36061002400,26.3,36.6,5.6,12.7,9.1,10.6,21.5,19.6,36.1,5.3,32.0,5.5,31.0,5434.0
1090,36061002500,28.6,41.0,6.3,11.5,11.0,11.6,18.1,22.6,40.5,5.7,25.9,6.6,34.7,4869.0
1091,36061002601,18.2,26.6,4.2,11.0,5.1,6.2,20.9,11.4,29.8,3.0,26.4,3.0,16.5,3772.0
1092,36061002602,15.3,21.2,4.6,9.5,3.6,3.9,19.7,7.1,27.4,2.1,19.8,2.0,9.1,4227.0
1093,36061002700,23.5,33.8,7.0,8.0,7.8,7.0,13.4,14.4,38.5,3.6,14.1,4.3,15.0,1264.0
1094,36061002800,18.5,25.4,5.1,10.3,4.8,5.2,20.0,10.0,30.0,2.8,23.5,2.8,13.8,7114.0
1095,36061002900,20.7,33.5,5.2,8.4,7.3,7.2,13.7,15.1,36.4,3.4,17.8,4.3,24.2,6398.0
1096,36061003001,10.6,15.3,3.2,8.9,2.2,2.5,19.3,4.8,22.3,1.5,17.1,1.2,6.7,4492.0
1097,36061003002,18.8,24.9,5.7,10.1,5.1,5.4,20.8,8.9,29.9,2.7,21.2,2.7,11.6,3106.0
1098,36061003100,8.7,12.8,2.5,10.0,1.8,2.4,21.1,3.7,18.5,1.2,14.2,1.1,7.7,2550.0
1099,36061003200,17.3,21.5,6.0,9.4,4.1,4.1,20.1,6.3,28.1,2.1,17.8,2.1,7.4,8234.0
1100,36061003300,14.4,17.2,5.0,8.7,2.5,2.8,19.7,4.2,26.6,1.4,17.5,1.3,4.4,5156.0
1101,36061003400,13.9,18.4,3.8,10.3,3.2,4.1,22.5,5.6,23.8,1.9,20.4,1.7,11.8,6612.0
1102,36061003601,17.6,26.1,4.5,10.0,5.2,5.8,19.3,10.9,30.4,2.9,22.6,2.9,15.9,3393.0
1103,36061003602,14.2,20.2,3.9,10.0,3.4,4.2,21.0,6.4,25.2,1.9,20.9,1.9,10.6,3151.0
1104,36061003700,16.8,19.9,5.9,9.1,3.4,3.6,20.3,5.1,28.3,1.8,18.3,1.7,5.9,2447.0
1105,36061003800,13.8,17.7,4.4,9.7,3.0,3.7,21.0,5.0,24.3,1.7,17.6,1.6,9.1,9237.0
1106,36061003900,17.1,20.4,6.2,8.9,3.2,3.3,19.2,5.4,29.4,1.8,17.9,1.7,5.4,5860.0
1107,36061004000,11.3,14.5,3.7,9.6,2.3,2.8,21.3,3.8,21.1,1.4,16.0,1.2,6.9,8651.0
1108,36061004100,17.0,25.1,5.0,8.5,4.9,4.8,16.1,9.9,32.0,2.4,14.0,2.8,14.5,7817.0
