,GeoID,T_WalkVSDrive,T_Transit,BE_nodeD
30,36005005600,0.000152306966409,0.0199649575802286,2069.875
31,36005005902,0.0001314998019478,0.0339852827265685,1414.5
32,36005006000,0.0003269187736892,0.0495611562927771,1792.5454545454545
33,36005006100,8.591311901640075e-05,0.0245892809049286,1527.8
34,36005006200,6.018609274792671e-05,0.0086018006291354,2335.214285714286
35,36005006300,7.939288404034092e-05,0.0185699205166418,1598.5409836065571
36,36005006400,8.031618141322404e-05,0.0151247794302999,2611.818181818182
37,36005006500,6.792871152246678e-05,0.0172161051042114,1396.0588235294117
38,36005006700,6.103672649971547e-05,0.0132588774341351,1384.65
39,36005006800,0.0001252852401142,0.017155678287884,2967.3
40,36005006900,5.288369388091787e-05,0.0117075033785768,1452.3333333333333
41,36005007000,8.465177626970567e-05,0.0123155640171346,3296.2727272727275
42,36005007100,0.0001917504870932,0.0465271487819993,1341.3636363636365
43,36005007200,6.705710087334778e-05,0.010861561119293,3217.4615384615386
44,36005007300,0.0001019422265984,0.0215001284356537,1216.0
45,36005007400,9.507090719821914e-05,0.0081247593376973,2360.8571428571427
46,36005007500,8.710565892824454e-05,0.0171053017633424,1342.142857142857
47,36005007600,7.269943524116259e-05,0.0115713979875829,2904.9444444444443
48,36005007700,0.000174152550857,0.0453208787407023,1424.3333333333333
49,36005007800,5.525628678406336e-05,0.006889590418253,2609.391304347826
50,36005007900,5.728229710660859e-05,0.0118293567241243,1358.3529411764705
51,36005008300,6.096302070455647e-05,0.0111639781826621,1340.071428571429
52,36005008400,0.0001208200504457,0.0062342038753159,1621.0
53,36005008500,7.291715256713089e-05,0.0133914097630425,1578.3846153846157
54,36005008600,0.0001037028830464,0.0065134099616858,2118.6
55,36005008700,7.608503711787414e-05,0.0132261466606401,1634.0
56,36005008900,0.0001230663816324,0.0192398489140698,1735.125
57,36005009000,9.239327860071674e-05,0.0051643032451595,1435.46875
58,36005009200,7.134984202277437e-05,0.0088698425353797,2644.818181818182
59,36005009300,4.6530849186984304e-05,0.0056206372942419,1393.48623853211
60,36005009600,0.0001195158375886,0.0104728861475199,1700.888888888889
61,36005009800,6.194216624762642e-05,0.0070662961492655,2239.3142857142857
62,36005011000,0.0038729539954576,0.0734783979817092,859.047619047619
63,36005011502,7.137992925734399e-05,0.012126642771804,1865.7407407407409
64,36005011700,0.0001369332341825,0.0133820355304665,1649.078947368421
65,36005011800,4.907830961248735e-05,0.0005966092706451,414.4096385542169
66,36005011900,8.250417315544912e-05,0.0107214652669198,1844.0
67,36005012101,0.0001216633065749,0.0208737864077669,1725.25
68,36005012102,0.0002185588013093,0.0413856529736358,1858.0
69,36005012300,9.4821834226245e-05,0.0147200498696588,1717.470588235294
70,36005012500,8.541666022812267e-05,0.0168465337479422,1543.571428571429
71,36005012701,0.0001576649765178,0.0306813138038171,1751.75
72,36005012901,8.634514200452076e-05,0.0177459526774595,1570.5833333333333
73,36005013000,0.0002809198339913,0.0099806201550387,765.6
74,36005013100,7.660333642225785e-05,0.0134061855194752,1472.0
75,36005013200,5.620279864426901e-05,0.0015390861445338,668.4130434782609
76,36005013300,7.414620323690843e-05,0.0126705653021442,1308.0
77,36005013500,0.0001149052849015,0.0193971532235556,1317.9
78,36005013800,5.550569267873102e-05,0.0023397919325521,582.3676470588235
79,36005014100,0.0001132829249879,0.0252495224601839,1434.5652173913045
80,36005014300,0.0003356797555792,0.0874044533067464,1408.388888888889
81,36005014400,7.95797865655635e-05,0.0020855710705334,772.4736842105264
82,36005014500,6.41855933886757e-05,0.0119593458658107,1399.888888888889
