,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
181,36005025500,18.1,90.5,30.4,43.4
182,36005025600,18.2,93.8,16.3,17.3
183,36005025700,6.0,86.7,12.2,21.3
184,36005026100,2.8,97.6,3.3,10.2
185,36005026300,8.4,90.7,37.6,28.2
186,36005026400,5.5,89.7,5.9,22.7
187,36005026500,16.3,85.2,21.2,41.5
188,36005026601,1.7,90.9,12.8,8.6
189,36005026602,6.3,97.2,16.2,9.6
190,36005026701,8.0,88.7,17.3,28.3
191,36005026702,7.5,90.3,32.6,32.6
192,36005026900,8.6,91.3,22.1,23.6
193,36005027300,6.7,92.7,20.2,26.3
194,36005027401,2.9,96.4,3.3,7.7
195,36005027402,4.7,94.6,9.8,10.8
196,36005027600,0.0,100.0,0.0,30.8
197,36005027700,7.9,88.8,26.4,29.3
198,36005027900,5.2,96.0,11.2,23.3
199,36005028100,7.2,97.3,9.7,18.0
200,36005028300,11.7,91.0,35.0,21.6
201,36005028400,18.2,92.3,59.6,0.0
202,36005028500,8.1,93.8,23.5,13.3
203,36005028600,5.3,97.7,6.5,23.0
204,36005028700,9.4,92.5,8.7,18.0
205,36005028800,7.3,91.7,23.6,6.2
206,36005028900,4.4,90.4,16.2,26.2
207,36005029301,6.4,98.0,3.1,4.0
208,36005029302,3.8,97.1,7.8,6.8
209,36005029500,3.5,98.8,4.5,6.5
210,36005029600,6.0,97.9,10.2,15.4
211,36005029700,5.0,94.7,4.5,5.1
212,36005030000,7.7,94.3,10.9,16.5
213,36005030100,0.2,99.6,12.5,16.7
214,36005030200,7.8,91.8,9.9,7.5
215,36005030701,5.3,98.6,3.4,7.1
216,36005030900,6.4,97.5,6.5,6.7
217,36005031000,7.3,96.2,9.2,17.5
218,36005031200,6.8,97.7,3.9,16.1
219,36005031400,7.7,93.9,1.3,22.0
220,36005031600,5.6,93.4,11.8,15.1
221,36005031800,9.6,91.4,6.9,21.6
222,36005031900,17.8,95.9,76.4,5.3
223,36005032300,4.3,94.9,7.1,8.1
224,36005032400,7.7,93.5,41.3,14.9
225,36005032600,5.5,93.8,10.1,22.0
226,36005032800,14.9,92.3,27.3,27.4
227,36005033000,18.9,84.5,19.5,28.1
228,36005033201,5.2,88.3,17.0,21.5
229,36005033202,7.1,92.0,21.2,20.1
230,36005033400,40.0,100.0,20.0,0.0
231,36005033500,6.3,98.3,9.2,6.5
232,36005033600,13.9,97.0,29.8,19.1
233,36005033700,5.5,97.1,3.1,11.8
234,36005033800,13.5,86.0,10.8,15.8
235,36005034000,9.4,89.4,15.8,18.5
236,36005034200,5.5,91.6,16.3,17.8
237,36005034300,0.5,94.8,9.1,7.9
238,36005034400,2.5,93.7,14.7,15.7
239,36005034500,10.9,97.6,12.1,15.9
240,36005034800,4.1,96.7,18.1,13.8
241,36005035000,1.1,92.1,5.1,16.3
242,36005035100,5.0,96.1,7.6,6.2
243,36005035600,8.4,93.9,10.9,6.1
244,36005035800,11.1,95.9,11.5,6.8
245,36005035900,9.8,95.1,29.6,22.7
246,36005036000,8.4,92.4,7.5,16.0
247,36005036100,14.9,95.8,35.2,24.6
248,36005036300,18.8,94.3,32.8,25.9
249,36005036400,7.7,94.9,7.7,1.0
250,36005036501,18.5,94.4,26.2,24.2
251,36005036502,9.5,85.9,26.9,17.7
252,36005036700,14.4,99.0,29.8,16.3
253,36005036800,8.8,94.3,19.1,8.2
254,36005036901,10.0,94.7,37.7,26.9
255,36005036902,20.3,97.6,52.0,18.5
256,36005037000,7.6,91.9,14.9,10.9
257,36005037100,4.7,95.5,28.4,31.1
258,36005037200,7.9,89.2,17.9,10.7
259,36005037300,8.6,89.7,34.6,19.6
260,36005037400,13.7,91.1,29.2,11.9
261,36005037504,9.0,91.8,40.2,28.0
262,36005037600,9.4,94.4,18.0,20.7
263,36005037800,8.4,92.7,20.1,13.6
264,36005037900,14.5,85.3,35.7,22.1
265,36005038000,7.9,91.7,28.7,8.5
266,36005038100,8.2,86.0,23.1,29.5
267,36005038200,16.0,92.5,25.5,9.8
268,36005038301,9.8,87.7,22.7,34.4
269,36005038302,22.1,92.6,43.3,27.2
270,36005038500,11.0,89.0,32.5,19.6
271,36005038600,2.2,93.4,15.7,5.6
272,36005038700,23.8,88.6,39.4,8.7
273,36005038800,7.5,91.2,9.6,4.1
274,36005038900,14.1,90.6,38.1,15.3
275,36005039000,17.3,93.4,18.6,4.6
276,36005039100,11.6,83.0,35.3,22.7
277,36005039200,10.6,91.2,15.8,15.3
278,36005039300,22.9,90.0,40.2,20.4
279,36005039400,11.8,86.7,20.0,7.2
280,36005039500,12.6,93.4,33.4,18.2
281,36005039600,10.5,92.1,14.7,7.0
282,36005039700,9.9,95.9,23.8,6.3
283,36005039800,8.0,96.3,7.9,6.2
284,36005039901,13.0,88.4,47.2,31.8
285,36005039902,19.4,88.0,33.0,28.4
286,36005040100,16.9,84.9,31.6,26.8
287,36005040302,11.7,93.0,16.2,39.2
288,36005040303,12.6,86.9,24.7,36.1
289,36005040304,14.0,93.8,36.5,43.1
290,36005040400,10.9,93.7,10.1,12.5
291,36005040501,6.5,90.5,27.2,25.5
292,36005040502,17.9,96.0,28.7,23.2
293,36005040600,9.1,90.4,19.1,2.7
294,36005040701,11.8,90.1,28.2,24.0
295,36005040702,9.3,89.7,16.8,25.4
296,36005040800,14.5,84.4,22.8,9.7
297,36005040900,13.3,94.1,12.1,10.3
298,36005041100,7.6,87.9,23.0,19.2
299,36005041300,5.5,87.0,17.4,18.3
300,36005041400,5.4,93.9,11.0,13.8
