,GeoID,GHLTH,MHLTH,PHLTH,TotalPopulation
787,36047054800,14.2,12.2,11.0,1989.0
788,36047054900,11.2,13.2,7.6,3122.0
789,36047055000,14.2,12.2,10.6,3551.0
790,36047055100,12.8,11.3,8.0,4597.0
791,36047055200,14.9,12.3,10.8,3498.0
792,36047055300,8.9,10.6,6.5,2596.0
793,36047055400,17.4,14.0,12.4,4216.0
794,36047055500,7.2,10.4,5.5,1959.0
795,36047055600,16.6,13.8,12.1,3712.0
796,36047055700,9.6,12.2,7.2,1655.0
797,36047055800,14.8,12.0,10.8,2390.0
798,36047056000,15.2,12.3,11.5,3493.0
799,36047056100,9.7,11.4,7.6,3295.0
800,36047056200,13.2,11.6,10.2,1654.0
801,36047056300,13.8,12.7,9.2,4360.0
802,36047056400,13.9,11.6,10.6,2451.0
803,36047056500,10.4,11.5,7.8,3255.0
804,36047056600,13.7,10.7,10.0,2419.0
805,36047056800,14.8,11.4,10.7,1314.0
806,36047056900,9.5,11.8,7.3,1630.0
807,36047057000,15.0,9.9,11.0,3384.0
808,36047057100,11.5,12.5,8.7,4400.0
809,36047057200,28.2,17.3,17.2,5443.0
810,36047057300,10.0,12.2,7.9,2608.0
811,36047057400,16.5,11.4,11.1,2657.0
812,36047057500,11.3,11.7,8.3,4249.0
813,36047057600,18.6,12.3,11.9,2918.0
814,36047057800,21.4,14.8,14.1,3176.0
815,36047057900,19.6,15.1,12.0,1117.0
816,36047058000,18.9,13.2,12.2,3365.0
817,36047058200,19.3,13.9,12.6,2967.0
818,36047058400,17.1,13.0,12.0,3620.0
819,36047058600,18.7,11.7,11.2,2519.0
820,36047058800,13.1,10.8,9.8,3245.0
821,36047058900,10.2,12.0,8.0,1904.0
822,36047059000,19.5,13.3,12.1,1899.0
823,36047059100,9.7,11.5,7.6,3920.0
824,36047059200,16.9,12.3,11.9,3870.0
825,36047059300,11.1,12.6,8.2,2228.0
826,36047059401,17.3,12.5,11.9,7628.0
827,36047059402,14.0,10.9,10.5,4551.0
828,36047059600,14.9,10.9,11.5,2306.0
829,36047059800,16.0,13.3,11.6,3427.0
830,36047060000,13.1,11.2,10.0,6067.0
831,36047060600,15.9,11.6,11.5,2555.0
832,36047060800,15.7,12.8,11.8,3574.0
833,36047061002,11.8,10.2,9.8,4508.0
834,36047061003,24.2,15.7,14.2,1984.0
835,36047061004,20.5,13.3,15.3,6447.0
836,36047061200,12.7,11.0,10.2,1076.0
837,36047061600,14.5,9.8,11.2,1656.0
838,36047062000,11.2,9.8,9.3,1850.0
839,36047062200,16.5,12.1,12.1,3252.0
840,36047062600,16.9,12.2,11.7,2788.0
841,36047062800,15.1,13.0,11.5,5226.0
842,36047063200,16.0,11.1,11.9,1447.0
843,36047063600,14.9,11.7,11.1,1236.0
844,36047063800,13.6,11.0,10.4,1524.0
