,GeoID,E_Advance,E_PreS
309,36005044200,27.3,14.0
310,36005044400,23.7,30.7
311,36005044800,31.4,100.0
312,36005044901,36.8,100.0
313,36005044902,43.2,55.6
314,36005045101,41.2,62.2
315,36005045102,39.3,49.3
316,36005045600,26.5,40.9
317,36005045800,10.0,65.9
318,36005046000,15.7,53.0
319,36005046201,25.0,73.1
320,36005046202,23.3,68.8
321,36005048400,24.6,34.3
322,36005051600,46.7,0.0
323,36047000100,71.9,100.0
324,36047000200,18.8,100.0
325,36047000301,80.9,41.5
326,36047000501,80.0,100.0
327,36047000502,87.4,100.0
328,36047000700,83.5,93.7
329,36047000900,89.2,76.9
330,36047001100,87.5,100.0
331,36047001300,67.5,66.7
332,36047001500,64.7,57.0
333,36047002000,15.5,0.0
334,36047002100,89.6,100.0
335,36047002200,26.0,55.6
336,36047002300,15.1,70.9
337,36047002901,9.5,62.7
338,36047003000,56.3,35.9
339,36047003100,61.2,30.3
340,36047003300,74.8,100.0
341,36047003400,44.7,61.2
342,36047003500,62.9,60.4
343,36047003600,49.6,12.0
344,36047003700,85.8,84.3
345,36047003800,54.9,44.4
346,36047003900,75.0,80.0
347,36047004100,74.7,92.1
348,36047004300,79.3,85.4
349,36047004400,64.3,100.0
350,36047004500,87.0,100.0
351,36047004600,56.9,100.0
352,36047004700,79.8,100.0
353,36047004900,74.0,100.0
354,36047005000,68.3,100.0
355,36047005100,78.5,83.5
356,36047005201,53.4,100.0
357,36047005202,55.8,100.0
358,36047005300,58.7,85.2
359,36047005400,59.3,80.3
360,36047005601,60.1,0.0
361,36047005602,51.6,64.7
362,36047005800,42.7,44.9
363,36047005900,51.5,45.7
364,36047006000,44.6,89.0
365,36047006200,57.7,17.9
366,36047006300,74.0,47.1
367,36047006400,47.5,0.0
368,36047006500,79.7,31.6
369,36047006600,52.9,100.0
370,36047006700,79.0,59.0
371,36047006800,39.1,46.0
372,36047006900,87.6,62.6
373,36047007000,52.9,76.2
374,36047007100,32.5,48.4
375,36047007200,26.1,18.8
376,36047007400,20.8,63.7
377,36047007500,79.5,76.0
378,36047007600,24.4,26.6
379,36047007700,76.8,84.6
380,36047007800,17.7,85.4
381,36047008000,26.6,100.0
382,36047008200,35.2,81.1
383,36047008400,24.7,44.0
384,36047008500,6.3,75.9
385,36047008800,47.5,100.0
386,36047009000,19.1,29.9
387,36047009200,24.8,41.5
388,36047009400,20.2,48.5
389,36047009600,18.5,44.2
390,36047009800,6.9,20.6
391,36047010000,11.9,43.3
392,36047010100,32.4,37.4
393,36047010200,18.6,38.0
