,GeoID,T_Vehicle
731,36047045400,55.2
732,36047045600,37.7
733,36047045800,38.4
734,36047046000,28.7
735,36047046201,35.1
736,36047046202,57.9
737,36047046400,43.4
738,36047046800,58.9
739,36047047000,52.4
740,36047047200,53.2
741,36047047400,38.9
742,36047047600,42.5
743,36047047700,30.9
744,36047047800,43.7
745,36047048000,29.8
746,36047048100,19.2
747,36047048200,39.6
748,36047048400,43.4
749,36047048500,32.5
750,36047048600,29.8
751,36047048800,33.1
752,36047048900,17.7
753,36047049000,35.3
754,36047049100,31.0
755,36047049200,38.0
756,36047049300,23.5
757,36047049400,45.0
758,36047049500,22.2
759,36047049600,29.7
760,36047049700,31.9
761,36047049800,42.8
762,36047049900,43.7
763,36047050000,49.9
764,36047050100,34.4
765,36047050202,58.4
766,36047050300,25.6
767,36047050400,39.3
768,36047050500,25.0
769,36047050600,29.3
770,36047050700,30.3
771,36047050801,29.2
772,36047050803,19.1
773,36047050804,28.4
774,36047050900,34.4
775,36047051001,19.9
776,36047051002,20.8
777,36047051100,25.3
778,36047051200,23.2
779,36047051300,29.2
780,36047051400,27.5
781,36047051500,33.1
782,36047051601,33.3
783,36047051602,29.9
784,36047051700,23.2
785,36047051800,42.9
786,36047051900,26.8
787,36047052000,39.3
788,36047052300,13.7
789,36047052500,18.4
790,36047052600,36.1
791,36047052700,21.8
792,36047052800,46.2
793,36047052900,33.7
794,36047053000,35.5
795,36047053100,37.1
796,36047053200,48.8
797,36047053300,22.4
798,36047053400,32.6
799,36047053500,11.8
800,36047053700,49.5
801,36047053800,30.3
802,36047053900,30.3
803,36047054200,37.8
804,36047054300,56.5
805,36047054400,51.0
806,36047054500,27.5
807,36047054600,30.6
808,36047054700,39.3
809,36047054800,37.8
810,36047054900,31.0
811,36047055000,40.3
812,36047055100,30.0
813,36047055200,31.8
814,36047055300,27.3
815,36047055400,38.1
816,36047055500,37.6
817,36047055600,44.4
818,36047055700,29.3
819,36047055800,50.1
820,36047056000,44.1
821,36047056100,39.5
822,36047056200,54.3
823,36047056300,26.2
824,36047056400,50.0
825,36047056500,30.5
826,36047056600,49.8
827,36047056800,58.6
828,36047056900,34.7
829,36047057000,58.8
830,36047057100,23.7
831,36047057200,25.7
832,36047057300,32.0
833,36047057400,49.8
834,36047057500,33.7
835,36047057600,53.0
836,36047057800,44.6
837,36047057900,14.8
838,36047058000,36.8
839,36047058200,40.9
840,36047058400,43.4
841,36047058600,48.2
842,36047058800,43.0
843,36047058900,41.5
844,36047059000,45.8
845,36047059100,34.7
846,36047059200,37.5
847,36047059300,40.2
848,36047059401,39.0
849,36047059402,59.3
850,36047059600,58.6
851,36047059800,51.8
852,36047060000,51.3
853,36047060600,41.7
854,36047060800,50.9
855,36047061002,56.2
856,36047061003,26.8
857,36047061004,25.2
858,36047061200,38.2
859,36047061600,43.1
860,36047062000,59.0
861,36047062200,46.1
862,36047062600,47.8
863,36047062800,46.3
864,36047063200,57.9
865,36047063600,52.7
866,36047063800,47.8
867,36047064000,58.5
868,36047064200,39.8
869,36047064400,47.1
870,36047064600,50.5
871,36047064800,39.3
872,36047065000,37.2
873,36047065200,45.4
874,36047065400,44.9
875,36047065600,47.2
876,36047065800,47.0
877,36047066000,41.8
878,36047066200,53.4
880,36047067000,41.2
881,36047067200,58.9
882,36047067400,49.3
883,36047067600,62.9
884,36047067800,45.3
885,36047068000,44.4
886,36047068200,44.3
887,36047068600,42.1
888,36047068800,49.9
889,36047069000,40.3
890,36047069200,35.7
891,36047069601,60.2
892,36047069602,48.8
893,36047069800,41.6
894,36047070000,36.2
895,36047070201,39.1
896,36047070202,0.0
898,36047070600,38.8
899,36047072000,50.2
900,36047072200,41.3
901,36047072400,57.9
902,36047072600,43.4
903,36047072800,54.6
904,36047073000,50.5
905,36047073200,44.5
906,36047073400,52.5
907,36047073600,46.6
908,36047073800,48.8
909,36047074000,48.3
910,36047074200,44.4
911,36047074400,50.8
912,36047074600,51.9
913,36047074800,41.7
914,36047075000,51.7
915,36047075200,33.1
916,36047075400,41.6
917,36047075600,44.8
918,36047075800,46.8
919,36047076000,44.1
920,36047076200,27.8
921,36047076400,39.1
922,36047076600,27.0
923,36047076800,47.1
924,36047077000,28.7
925,36047077200,50.3
926,36047077400,41.4
927,36047077600,43.5
928,36047078000,43.9
929,36047078200,35.1
930,36047078400,36.0
931,36047078600,31.0
932,36047078800,40.9
933,36047079000,32.4
934,36047079200,37.4
935,36047079400,40.8
936,36047079601,20.7
937,36047079602,26.4
938,36047079801,28.1
939,36047079802,18.2
940,36047080000,44.6
941,36047080200,21.6
942,36047080400,28.9
943,36047080600,32.9
944,36047080800,8.4
945,36047081000,35.1
946,36047081400,42.3
947,36047081600,32.7
948,36047081800,41.4
949,36047082000,23.3
950,36047082200,15.6
951,36047082400,22.9
952,36047082600,31.0
953,36047082800,29.7
954,36047083000,34.2
955,36047083200,51.3
956,36047083400,54.2
957,36047083600,37.3
958,36047083800,38.4
959,36047084000,42.2
960,36047084600,51.2
961,36047084800,31.1
962,36047085000,50.8
963,36047085200,0.0
964,36047085400,36.3
965,36047085600,34.3
966,36047085800,39.7
967,36047086000,40.5
968,36047086200,36.1
969,36047086400,39.7
970,36047086600,42.1
971,36047086800,35.6
972,36047087000,33.2
973,36047087200,39.8
974,36047087401,36.3
975,36047087600,38.8
976,36047087800,30.7
977,36047088000,36.1
978,36047088200,28.5
979,36047088400,31.3
980,36047088600,23.8
981,36047088800,28.6
982,36047089000,23.6
983,36047089200,10.2
984,36047089400,36.4
985,36047089600,20.5
986,36047089800,31.7
987,36047090000,22.8
988,36047090200,28.4
989,36047090600,8.0
990,36047090800,7.6
991,36047091000,5.9
992,36047091200,5.3
993,36047091600,12.8
994,36047091800,24.4
995,36047092000,35.5
996,36047092200,32.2
997,36047092400,27.0
998,36047092800,45.0
999,36047093000,52.5
1000,36047093200,37.1
1001,36047093400,50.0
1002,36047093600,45.7
1003,36047093800,40.3
1004,36047094401,37.5
1005,36047094402,13.0
1006,36047094600,51.9
1007,36047095000,37.9
1008,36047095400,45.5
1009,36047095600,41.0
1010,36047095800,63.7
1012,36047096200,46.2
1013,36047096400,30.3
1014,36047096600,45.7
1015,36047096800,48.0
1016,36047097000,35.0
1017,36047097400,46.2
1018,36047098200,22.0
1019,36047098400,48.5
1020,36047098600,57.6
1021,36047098800,46.5
1022,36047099000,59.8
1023,36047099200,54.3
1024,36047099400,55.1
1025,36047099600,49.6
1026,36047099800,44.6
