GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English,E_Advance,E_PreS,NE_Tem,NE_Ozone,NE_PM25,N_HFood,N_TreeD,N_LandUseMix,T_WalkVSDrive,T_Transit,T_NodeD,MH,PH
36047020700,1.9,90.7,3.9,0.9,77.6,76.4,91.61671052631591,41.4454019607843,9.05208356164384,0.0,7.881319576144251,0.324280269251542,9.690032236356076e-05,0.0147331786542923,1537.5,90.2,93.2
36047020800,3.3,96.0,7.3,36.1,32.1,50.8,92.4401265822785,41.488024183006495,8.86365123287671,0.0,3.783679052929643,0.2522726146275963,0.0001101406291929,0.0104986876640419,697.25,87.8,88.6
36047021000,3.5,91.5,19.5,46.0,26.6,42.5,92.86785714285716,41.481331372549,8.87530931506849,0.0,4.12791321685859,0.4174696024544342,8.952763648727009e-05,0.0083725358422939,673.3333333333334,85.2,85.5
36047021100,6.7,94.7,17.8,9.8,34.6,100.0,96.19123076923078,41.4809516339869,9.12323616438356,0.0,7.6891406769202115,0.3524672225570925,0.0003791871360871,0.0704315886134068,1149.7777777777778,87.6,89.2
36047021200,10.6,90.2,18.4,45.9,18.4,84.9,94.06603773584916,41.4741444444444,8.88176739726027,0.0,4.622483054551097,0.5814161500213387,7.298750214371616e-05,0.0081125708952545,670.0833333333334,83.7,83.8
36047021300,8.8,94.9,15.4,2.2,38.9,100.0,92.66441176470596,41.4377947712418,9.030330958904107,0.0,5.702367901493177,0.5129035485101533,0.0001029949744268,0.01529924692826,1577.1333333333334,86.5,88.8
36047021400,1.7,85.3,30.1,38.5,12.7,41.7,95.25267379679153,41.4616575163399,8.89166684931507,0.0,4.023436847016674,0.785747134364757,0.0001586703057442,0.0189448098370031,644.6923076923077,82.1,84.4
36047021500,7.6,94.3,16.1,1.6,61.7,100.0,91.54048780487813,41.4422751633987,9.05706904109589,0.0,8.610741432251745,0.4317398312487072,7.255375803700503e-05,0.0142578983732177,1645.8333333333333,87.8,90.8
36047021600,6.0,92.6,22.6,28.2,25.4,59.0,97.43287234042558,41.4617078431373,8.8952495890411,0.0,5.438250534353172,0.4113584240775116,8.8860855329686e-05,0.0092707900927079,589.5555555555555,81.5,83.7
36047021700,5.6,90.4,16.8,7.7,51.3,100.0,91.86799999999998,41.4451045751634,9.04417863013699,0.0,6.097806874448956,0.384015465221679,0.0001126070335377,0.0231790380872949,1616.5,87.0,89.8
36047021800,1.8,96.1,25.9,19.2,17.0,84.3,97.19827586206898,41.453433333333294,8.90217068493151,0.0,6.051221043209453,0.6114716698435697,9.373303185226104e-05,0.0102366391917043,548.3333333333334,80.5,83.1
36047021900,2.7,91.8,16.5,9.0,48.0,42.6,91.16705882352942,41.4547281045752,9.03685369863014,0.0,7.678597472453287,0.3100589874554036,0.000103744014756,0.0233101529902642,1498.0,86.6,89.9
36047022000,7.0,95.3,45.2,25.2,14.1,43.8,97.70290322580644,41.4481071895425,8.90766438356164,0.0,5.082620862475778,0.7138057935284625,7.709578477468811e-05,0.0079797053464025,539.2941176470588,76.5,78.4
36047022100,6.5,90.9,27.2,2.1,47.8,100.0,93.09333333333336,41.4547117647059,9.0440304109589,0.0,6.56925555192367,0.2621536207110043,9.95368930646222e-05,0.0239401496259351,1204.0,85.9,89.0
36047022200,2.6,97.7,32.0,20.0,21.9,71.1,96.80045685279192,41.463526143790894,8.91429808219178,0.0,4.685663767234591,0.7072532651342273,7.897380271358682e-05,0.0078982882306982,554.9333333333333,80.4,82.6
36047022400,2.0,93.4,21.4,22.1,26.4,70.4,96.32494845360824,41.4455405228758,8.92140328767123,0.0,4.470786652375437,0.6378241630837878,7.340649410237132e-05,0.0077773727062826,671.0,82.5,85.5
