,N_TreeD,GeoID
295,5.8568124334720375,36005042902
296,7.438685042782367,36005043000
948,5.119043289266308,36005043100
297,2.9070785214581347,36005043400
1995,2.7604491463326872,36005043500
298,7.807779997161489,36005043600
1744,3.3637294650990768,36005044200
1575,4.118931036752577,36005044400
488,4.0745966190994345,36005044800
1996,6.776205084501886,36005044901
1886,6.18422436334227,36005044902
1086,5.3545849522615185,36005045101
1879,5.549565736137575,36005045102
2084,2.44713858429866,36005045600
907,4.250551872174743,36005045800
890,3.586809957675854,36005046000
1959,2.263068323588971,36005046201
2016,2.8867570906804567,36005046202
1153,3.7983732177009744,36005048400
1955,1.319701507249573,36005050400
1422,3.0646653294501314,36005051600
2088,9.45976824043104,36047000100
1614,2.8773557930920384,36047000200
2064,7.606413924408082,36047000301
14,7.392820567318648,36047000501
1270,8.976164477956674,36047000502
1298,9.112011142668528,36047000700
1890,5.585007736803177,36047000900
1889,7.0349850286062185,36047001100
2122,14.496744140580295,36047001300
2123,3.9348418077600185,36047001500
1880,0.478556008544923,36047001800
1321,2.9563521977940987,36047002000
2089,3.1521661097317355,36047002100
1323,4.001103712919954,36047002200
2124,2.953643682236466,36047002300
1172,1.2311078275979377,36047002901
495,3.783939230095596,36047003000
1460,12.2566235345169,36047003100
919,5.696751055582818,36047003300
1888,8.339376131790736,36047003400
701,5.714081565105283,36047003500
543,7.072231272089465,36047003600
1891,4.056540651982218,36047003700
1070,7.516369440953772,36047003800
635,7.487824137779081,36047003900
1597,8.691547919888448,36047004100
1598,7.582471755471915,36047004300
1856,8.996545975443063,36047004400
1608,10.109276304354118,36047004500
1857,8.278131717087609,36047004600
2030,4.216701975628335,36047004700
1609,7.33591106683025,36047004900
1183,8.606698125079241,36047005000
1282,7.756635746026605,36047005100
1194,6.064100155955293,36047005201
1195,7.1658337599705995,36047005202
2108,3.5912348513989047,36047005300
1303,7.608031388163027,36047005400
1854,6.715560973775409,36047005601
1855,6.649011306084344,36047005602
15,4.816028303851757,36047005800
1961,4.557232254642906,36047005900
16,4.863404502931755,36047006000
811,5.261582346695448,36047006200
1962,8.537814729728236,36047006300
809,6.41404093529599,36047006400
1963,8.352130612537572,36047006500
464,6.349803268088948,36047006600
2033,8.811496373035142,36047006700
544,4.625093767175467,36047006800
17,8.609510792595811,36047006900
1325,6.334235410490846,36047007000
610,5.089176055641291,36047007100
1324,5.597773690460443,36047007200
18,5.801823329940832,36047007400
2034,7.405186390786975,36047007500
1301,6.02756210952425,36047007600
1971,4.910098429139301,36047007700
19,7.963057374181153,36047007800
1615,7.5186887562026525,36047008000
1616,6.920091737569371,36047008200
1125,4.454066343883616,36047008400
2098,5.741802929597717,36047008500
469,16.790635394402454,36047008600
1134,3.7522236995380207,36047008800
821,3.471742124988119,36047009000
822,7.326269511889144,36047009200
467,6.833042667703246,36047009400
468,6.844976901563699,36047009600
20,6.538694935510914,36047009800
819,6.4600418371358765,36047010000
21,4.749242789263448,36047010100
22,6.106463295973168,36047010200
