,GeoID,N_HFood
243,36005034400,0.0
244,36005034500,0.0
245,36005034800,0.0
246,36005035000,0.0
247,36005035100,0.18913005688073395
248,36005035600,0.0
249,36005035800,0.0
250,36005035900,0.0
251,36005036000,0.0
252,36005036100,0.0
253,36005036300,0.0
254,36005036400,0.0
255,36005036501,0.0
256,36005036502,0.0
257,36005036700,0.0
258,36005036800,0.0
259,36005036901,0.0
260,36005036902,0.0
261,36005037000,0.0
262,36005037100,0.0
263,36005037200,0.0
264,36005037300,0.0
265,36005037400,0.0
266,36005037504,0.0
267,36005037600,0.0
268,36005037800,0.0
269,36005037900,0.0
270,36005038000,0.0
271,36005038100,0.0
272,36005038200,0.0
273,36005038301,0.0
274,36005038302,0.0
275,36005038500,0.0
276,36005038600,0.0
277,36005038700,0.0
278,36005038800,0.0
